iter	Passed	Remaining
402	9391	13912
403	9400	13867
404	9438	13866
405	9450	13826
406	9459	13782
407	9468	13737
408	9477	13694
409	9486	13651
410	9495	13607
411	9502	13562
412	9510	13517
413	9519	13473
414	9527	13430
415	9535	13386
416	9544	13343
417	9552	13300
418	9561	13257
419	9568	13214
420	9578	13173
421	9586	13129
422	9593	13086
423	9600	13041
424	9607	12998
425	9615	12955
426	9623	12913
427	9639	12883
428	9648	12842
429	9658	12803
430	9669	12764
431	9679	12727
432	9689	12688
433	9698	12648
434	9709	12610
435	9724	12579
436	9750	12561
437	9765	12529
438	9775	12491
439	9785	12453
440	9796	12417
441	9807	12381
442	9818	12344
443	9828	12308
444	9839	12271
445	9849	12234
446	9859	12197
447	9868	12159
448	9878	12122
449	9887	12085
450	9896	12047
451	9906	12010
452	9915	11972
453	9924	11935
454	9933	11898
455	9942	11861
456	9952	11825
457	9961	11788
458	9969	11751
459	9979	11715
460	9989	11679
461	9998	11643
462	10007	11607
463	10016	11570
464	10036	11546
465	10044	11510
466	10053	11473
467	10061	11437
468	10070	11401
469	10079	11366
470	10114	11359
471	10135	11337
472	10144	11302
473	10155	11269
474	10163	11233
475	10173	11199
476	10183	11165
477	10192	11130
478	10199	11094
479	10211	11062
480	10219	11027
481	10230	10994
482	10239	10960
483	10248	10925
484	10257	10891
485	10266	10857
486	10275	10824
487	10284	10790
488	10294	10757
489	10302	10722
490	10310	10688
491	10318	10653
492	10329	10622
493	10337	10588
494	10346	10555
495	10355	10522
496	10363	10489
497	10372	10455
498	10380	10422
499	10389	10389
500	10397	10356
501	10406	10323
502	10415	10291
503	10424	10258
504	10433	10226
505	10441	10193
506	10450	10161
507	10459	10129
508	10468	10098
509	10477	10066
510	10485	10034
511	10493	10001
512	10502	9970
513	10511	9939
514	10521	9908
515	10530	9877
516	10539	9846
517	10557	9823
518	10599	9823
519	10609	9792
520	10619	9763
521	10629	9733
522	10638	9703
523	10648	9672
524	10659	9644
525	10668	9613
526	10678	9584
527	10689	9556
528	10699	9526
529	10724	9510
530	10732	9479
531	10740	9448
532	10750	9419
533	10759	9389
534	10767	9358
535	10775	9327
536	10783	9297
537	10792	9267
538	10800	9237
539	10811	9209
