iter	Logloss
0	0.5407164369
1	0.4246223307
2	0.3428026172
3	0.2906012923
4	0.253197241
5	0.2261218614
6	0.2056318259
7	0.1909156172
8	0.1792106764
9	0.1719724479
10	0.1644020411
11	0.1594967632
12	0.1535029744
13	0.1494583341
14	0.1466300428
15	0.1436130139
16	0.14140944
17	0.1394991305
18	0.1376147425
19	0.1360571318
20	0.1342353714
21	0.1333204839
22	0.1322306854
23	0.1313896479
24	0.1305162772
25	0.1296486207
26	0.129089661
27	0.128400146
28	0.128087797
29	0.1275521875
30	0.1271376256
31	0.1268276881
32	0.1261483544
33	0.1256684271
34	0.1253431715
35	0.1250581856
36	0.124807306
37	0.1243519504
38	0.1240160184
39	0.1236841743
40	0.123325113
41	0.1230249635
42	0.1227324376
43	0.1225351261
44	0.122269593
45	0.1220992445
46	0.1217998865
47	0.1214961275
48	0.1213427043
49	0.1211487392
50	0.1209325186
51	0.1205951162
52	0.1203527995
53	0.1200377455
54	0.1199000007
55	0.1197001943
56	0.1195306198
57	0.119349374
58	0.1191849943
59	0.1190011286
60	0.1187052041
61	0.1184960189
62	0.1183482587
63	0.1181084039
64	0.1178847436
65	0.1177298003
66	0.1175468281
67	0.1173442782
68	0.1171399096
69	0.1169935886
70	0.1167655151
71	0.1165525141
72	0.1163702562
73	0.1162125755
74	0.1160463256
75	0.1158829313
76	0.1156785093
77	0.1153927314
78	0.115274861
79	0.1151099461
80	0.1150079282
81	0.1148513147
82	0.1146520669
83	0.1144795603
84	0.1143569253
85	0.114295217
86	0.114150553
87	0.1140016562
88	0.113897811
89	0.1137859521
90	0.1136571045
91	0.1134952599
92	0.1133998334
93	0.1132127274
94	0.113082539
95	0.1129588913
96	0.112864649
97	0.1127395839
98	0.1125676982
99	0.1124345557
100	0.1123486943
101	0.1122313152
102	0.1120677614
103	0.1119947796
104	0.1119119718
105	0.1117479441
106	0.1116199237
107	0.111478872
108	0.1113705566
109	0.1112525836
110	0.1111690266
111	0.11105431
112	0.110979201
113	0.1108871655
114	0.1107996758
115	0.1107250166
116	0.1106005958
117	0.1105223583
118	0.1104584368
119	0.1103249693
120	0.1102285576
121	0.1100817979
122	0.1099862604
123	0.1098815114
124	0.1096963867
125	0.1095932736
126	0.1094585212
127	0.1093539941
128	0.1092171511
129	0.1091232687
130	0.1090060228
131	0.1089486057
132	0.1088746119
133	0.1087907333
134	0.108700365
135	0.1086255473
136	0.1085138757
137	0.1084051576
138	0.1083199404
139	0.1082693131
140	0.1081745291
141	0.108095623
142	0.1080010926
143	0.1079228859
144	0.1077566834
145	0.1075984865
146	0.1075330017
147	0.1074192051
148	0.107341966
149	0.1072626625
150	0.1071480008
151	0.1070509492
152	0.106998987
153	0.1069109497
154	0.1068639159
155	0.1067810339
156	0.1066895414
157	0.1066518194
158	0.1065657292
159	0.1064595498
160	0.1064007634
161	0.1063467069
162	0.1062608109
163	0.1062137348
164	0.1061244807
165	0.1060819958
166	0.1060267866
167	0.1059607884
168	0.1058709481
169	0.1058030918
170	0.1057088906
171	0.1056495959
172	0.1055688428
173	0.105485843
174	0.1054116461
175	0.1053460134
176	0.1052687457
177	0.1051618844
178	0.1050651459
179	0.1049841663
180	0.1049394942
181	0.1048379758
182	0.1047242569
183	0.1046754648
184	0.1046334491
185	0.1045252819
186	0.1044010671
187	0.1043255348
188	0.1042305656
189	0.1041423442
190	0.1040937899
191	0.1040024854
192	0.1038970788
193	0.1038082275
194	0.1037540956
195	0.1036736954
196	0.1036094281
197	0.1034867329
198	0.1033731277
199	0.1033303353
200	0.1032859643
201	0.1032118339
202	0.1031595531
203	0.1030805451
204	0.1030078931
205	0.1029125073
206	0.1028161166
207	0.1027513969
208	0.1026893244
209	0.1026439318
210	0.1025669367
211	0.1024888222
212	0.1024374831
213	0.1023629635
214	0.1022417401
215	0.1022023406
216	0.1021477215
217	0.1020376152
218	0.1019940231
219	0.1019518206
220	0.1018785833
221	0.1018292466
222	0.1017885496
223	0.1017086656
224	0.1016553198
225	0.1015601871
226	0.1014968614
